Comment,Designator,Footprint,LCSC
10pF,"C5,C6",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C107172
4.7u,"C1,C2",CP_Elec_4x3,C134741
100K,"R3,R4",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17900
100,"R1,R2,R5",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17927
LED,D1,LED_RGB_Everlight_EASV3015RGBA0_Horizontal,C2843776
AudioJack2_Ground_Switch,J1,Jack_3.5mm_LCSC,C2884998
SW_DPDT_x2,SW1,SW_DPDT_LCSC,C2906280
10mH,"I1,I2",L_1812_4532Metric_Pad1.30x3.40mm_HandSolder,C3007710
MCP6002-E/P,U1,SOIC-8_3.9x4.9mm_P1.27mm,C7377
AAA_BATT1,"AAA_BATT1,AAA_BATT2",AAA battery SMD LCSC,C7525446
1uF,"C3,C4",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C90539
