Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT2,Battery_Cell,AAA battery SMD,181.728187,-73.379374,180.0,top
C1,4.7uF,CP_EIA-3216-18_Kemet-A,184.190687,-81.686279,0.0,top
C10,100uF,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,187.803189,-61.311277,270.0,top
C11,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,195.515688,-57.736272,180.0,top
C14,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,191.740684,-57.836276,0.0,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.20319,-88.298779,90.0,top
C2,4.7uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,184.265684,-87.386278,0.0,top
C5,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,189.278187,-80.248775,-90.0,top
C7,68pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.718434,-84.086769,90.0,top
C8,68pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.278192,-83.448777,90.0,top
D2,LED,LED_Kingbright_APDA3020VBCD,149.228192,-71.111274,90.0,top
J2,AudioJack2_Ground_Switch,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,203.298191,-84.311272,-90.0,top
L1,10mF,L_Bourns_SRN6045TA,145.353188,-85.311279,-90.0,top
L2,10mF,L_Bourns_SRN6045TA,145.353186,-60.511273,90.0,top
L4,22uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,199.703185,-61.548773,-90.0,top
R10,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.528182,-83.423774,90.0,top
R11,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.965687,-62.111278,180.0,top
R12,10K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,183.040686,-57.686269,180.0,top
R16,10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,168.835791,-57.156162,0.0,top
R5,56,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,168.865687,-61.811279,180.0,top
R7,100,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,152.678189,-60.011276,-90.0,top
R8,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,174.527592,-84.025315,-90.0,top
R9,100K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,162.593436,-83.386768,-90.0,top
SW1,SW_DPDT_x2,SW_DPDT_CK_JS202011JCQN,207.783186,-60.151274,180.0,top
U2,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,168.622377,-83.440499,90.0,top
U3,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,175.645386,-59.149545,270.0,top
U4,ME2188,SOT-23,193.078187,-62.173776,270.0,top
